Artist and Title,Streams,Daily
"Anirudh Ravichander - Thenmozhi (From ""Thiruchitrambalam"")",147483088,17485.0
"Anirudh Ravichander - Megham Karukatha (From ""Thiruchitrambalam"")",146906496,32963.0
Stray Kids - Come Play (from the series Arcane League of Legends),146714222,79796.0
JISOO - EYES CLOSED,146367283,328276.0
Lizzy McAlpine - Staying,146347904,452589.0
Sufjan Stevens - The Only Thing,146255444,18664.0
"Shashwat Sachdev - Gehra Hua (From ""Dhurandhar"")",146021595,1413046.0
MK - Dior,145749878,257620.0
Tate McRae - Purple lace bra,145561702,140171.0
KAROL G - Papasito,145386562,171473.0
Neton Vega - Me Ha Costado,144616346,140495.0
For Revenge - Sadrah,144097731,242150.0
Jeff Buckley - Everybody Here Wants You,144096460,312838.0
Sabrina Carpenter - Go Go Juice,143047422,259198.0
Jombriel - Parte & Choke,142576805,157661.0
Luther Vandross - Endless Love,142243568,51717.0
MXZI - MONTAGEM TOMADA,141766273,129949.0
MikkyZia - Aku Dah Lupa,141746018,124156.0
Teddy Swims - Are You Even Real,141635780,122473.0
ILLIT - NOT CUTE ANYMORE,141471166,607101.0
ROSALÍA - Berghain,141389061,314345.0
Leon Thomas - MUTT,141243124,206321.0
Lola Young - One Thing,141236791,133929.0
Liberación - Enamorado De Un Fantasma,141220631,104863.0
RnBoi - MON BÉBÉ,141048151,747371.0
Era7capone - SONBAHAR,140998283,124262.0
Tito Double P - CHAMPAGNE,140763109,143077.0
Neton Vega - 3,140738516,309451.0
Juan Reza - PICA PICA,140501695,138132.0
GIMS - PARISIENNE,140433276,321554.0
Alan Arrieta - Ay Mamita,140213347,192793.0
Jorge & Mateus - Seu Astral,140157031,135242.0
Ely Oaks - Borderline,140149093,274818.0
Jagwar Twin - bad feeling (oompa loompa),140093742,73365.0
Black Eyed Peas - Don't Lie,139900578,56919.0
Cardi B - Bongos,139834633,48744.0
GELO - Tweaker,139537696,66304.0
Lady Gaga - How Bad Do U Want Me,139489209,135791.0
disiz - melodrama,139114911,554481.0
Miley Cyrus - End of the World,139020307,146825.0
CORTIS - FaSHioN,138807522,480717.0
Milo j - Niño,138688554,703624.0
BLOK3 - KUSURA BAKMA,138581914,514818.0
WizTheMc - Take My Mind,138318903,343940.0
Don Toliver - Tiramisu,138259132,618891.0
Ren Ran - 飞鸟和蝉,138223768,39422.0
Bailey Zimmerman - Backup Plan,138195938,401858.0
Karan Aujla - Boyfriend,137285839,715942.0
